L.p.;Nazwa jednostki organizacyjnej;Nazwa jednostki oświatowej, wchodzącej w skład jedn. org.;Lokalizacja budynków;Adres siedziby jedn. org.;Typ placówki;Placówka samodzielna/zespół przedszkoli/zespół szkolno-przedszkolny/zespół szkół/ośrodek;Kod pocz.siedziby;Miasto;Telefony (kier. 71);Fax(kier. 71);Dyrektor;Adres e-mail
48.;Przedszkole nr 82;nie dotyczy;ul. ks. Norberta Bonczyka 52;ul. ks. Norberta Bonczyka 52;przedszkole;samodzielna;51-138;Wrocław;7986816;7984316;Edyta Gajewska;Sekretariat.p082[at]wroclawskaedukacja.pl
49.;Przedszkole nr 87 Wrocławskie Dzieciaki;nie dotyczy;ul. Iwana Pawłowa 6a;ul. Iwana Pawłowa 6a;przedszkole;samodzielna;53-604;Wrocław;7986817;7984317;Agnieszka Kolasa-Łukowicz;Sekretariat.p087[at]wroclawskaedukacja.pl
50.;Przedszkole nr 88;nie dotyczy;ul. Szczęśliwa 9-11;ul. Szczęśliwa 9-11;przedszkole;samodzielna;53-445;Wrocław;7986818;7984318;Emilia Pikulicka;Sekretariat.p088[at]wroclawskaedukacja.pl
51.;Przedszkole Integracyjne nr 89 im. Juliana Tuwima;nie dotyczy;ul. Oporowska 1;ul. Oporowska 1;przedszkole;samodzielna;53-434;Wrocław;7986819;7984319;Magdalena Kubala;Sekretariat.p089[at]wroclawskaedukacja.pl
52.;Przedszkole nr 90 im. Lucyny Krzemienieckiej;nie dotyczy;ul. Zaporoska 51;ul. Zaporoska 51;przedszkole;samodzielna;53-519;Wrocław;7986820;7984320;Jolanta Piejko;Sekretariat.p090[at]wroclawskaedukacja.pl
53.;Przedszkole nr 91 Nasz Domek;nie dotyczy;ul. Zaporoska 52a;ul. Zaporoska 52a;przedszkole;samodzielna;53-416;Wrocław;7986821;7984321;Katarzyna Starzecka;Sekretariat.p091[at]wroclawskaedukacja.pl
54.;Przedszkole nr 92;nie dotyczy;ul. Bardzka 5;ul. Bardzka 5;przedszkole;samodzielna;50-516;Wrocław;7986822;7984322;Joanna Wesołowska;Sekretariat.p092[at]wroclawskaedukacja.pl
55.;Przedszkole Integracyjne nr 93 im. Jana Brzechwy;nie dotyczy;ul. Grochowa 15;ul. Grochowa 15;przedszkole;samodzielna;53-423;Wrocław;7986823;7984323;Renata Wajda;Sekretariat.p093[at]wroclawskaedukacja.pl
56.;Przedszkole nr 94 Plastusiowy Domek;nie dotyczy;ul. Grabiszyńska 147;ul. Grabiszyńska 147;przedszkole;samodzielna;53-439;Wrocław;7986824;7984324;Barbara Więcławska;Sekretariat.p094[at]wroclawskaedukacja.pl
57.;Przedszkole nr 95;nie dotyczy;ul. Lwowska 30a;ul. Lwowska 30a;przedszkole;samodzielna;53-516;Wrocław;7986825;7984325;Elżbieta Borowiec;Sekretariat.p095[at]wroclawskaedukacja.pl
58.;Przedszkole nr 96 Pod Wesołym Słonkiem;nie dotyczy;al. Pracy 29a;al. Pracy 29a;przedszkole;samodzielna;53-231;Wrocław;7986826;;p.o. Katarzyna Krępska;Sekretariat.p096[at]wroclawskaedukacja.pl
59.;Przedszkole nr 99;nie dotyczy;ul. Inowrocławska 9;ul. Inowrocławska 9;przedszkole;samodzielna;53-653;Wrocław;7986827;7984327;Anna Łukawska;Sekretariat.p099[at]wroclawskaedukacja.pl
60.;Przedszkole nr 100;nie dotyczy;ul. Dekarska 3;ul. Dekarska 3;przedszkole;samodzielna;51-180;Wrocław;7986748;7984248;Anna Szerlowska;Sekretariat.p100[at]wroclawskaedukacja.pl
61.;Przedszkole nr 102;nie dotyczy;ul. Litomska 11;ul. Litomska 11;przedszkole;samodzielna;53-641;Wrocław;7986749;7984249;Anna Puławska;Sekretariat.p102[at]wroclawskaedukacja.pl
62.;Przedszkole nr 104 Na Misiowej Polanie;nie dotyczy;ul. Niedźwiedzia 26ul. Niedźwiedzia 28;ul. Niedźwiedzia 26;przedszkole;samodzielna;54-233;Wrocław;7986750;7984250;Anna Ziółkowska;Sekretariat.p104[at]wroclawskaedukacja.pl
63.;Przedszkole nr 106 im. Heleny Bechlerowej;nie dotyczy;ul. Sycowska 9;ul. Sycowska 9;przedszkole;samodzielna;51-319;Wrocław;7986751;7984251;Grzegorz Kempa;Sekretariat.p106[at]wroclawskaedukacja.pl
64.;Przedszkole nr 107 Słoneczko;nie dotyczy;ul. Wincentego Stysia 71;ul. Wincentego Stysia 71;przedszkole;samodzielna;53-529;Wrocław;7986752;7984252;Agnieszka Słowińska;Sekretariat.p107[at]wroclawskaedukacja.pl
65.;Przedszkole nr 108;nie dotyczy;ul. Drukarska 8a;ul. Drukarska 8a;przedszkole;samodzielna;53-312;Wrocław;7986753;;Dorota Golisz;Sekretariat.p108[at]wroclawskaedukacja.pl
66.;Przedszkole nr 109 z oddziałami integracyjnymi;nie dotyczy;ul. Nowowiejska 80a;ul. Nowowiejska 80a;przedszkole;samodzielna;50-315;Wrocław;7986754;7984254;Agnieszka Latacz;Sekretariat.p109[at]wroclawskaedukacja.pl
67.;Przedszkole nr 110 Domek Krasnoludków;nie dotyczy;ul. Gołężycka 4a;ul. Gołężycka 4a;przedszkole;samodzielna;54-152;Wrocław;7986755;7984255;Małgorzata Gaj;Sekretariat.p110[at]wroclawskaedukacja.pl
68.;Przedszkole nr 113 Akademia Przedszkolaka;nie dotyczy;ul. Lotnicza 22;ul. Lotnicza 22;przedszkole;samodzielna;54-155;Wrocław;7986756;7984256;Dorota Bencal;Sekretariat.p113[at]wroclawskaedukacja.pl
69.;Przedszkole nr 117 Fiołkowa Kraina;nie dotyczy;ul. Fiołkowa 7a;ul. Fiołkowa 7a;przedszkole;samodzielna;53-239;Wrocław;7986757;7984257;Barbara Korbecka;Sekretariat.p117[at]wroclawskaedukacja.pl
70.;Przedszkole nr 119 Zielona Łąka;nie dotyczy;ul. Łódzka 23;ul. Łódzka 23;przedszkole;samodzielna;50-521;Wrocław;7986758;;Sylwia Szatkowska-Pańczyk;Sekretariat.p119[at]wroclawskaedukacja.pl
71.;Przedszkole nr 121 Zielone Przedszkole;nie dotyczy;ul. Tramwajowa 34;ul. Tramwajowa 34;przedszkole;samodzielna;51-621;Wrocław;7986760;7984260;Anna Zioło;Sekretariat.p121[at]wroclawskaedukacja.pl
72.;Przedszkole nr 122 Wesoła Gromadka;nie dotyczy;ul. Kłodnicka 23;ul. Kłodnicka 23;przedszkole;samodzielna;54-217;Wrocław;7986761;7984261;Dorota Polkowska;Sekretariat.p122[at]wroclawskaedukacja.pl
73.;Przedszkole nr 123;nie dotyczy;ul. Wojrowicka 3;ul. Wojrowicka 3;przedszkole;samodzielna;54-434;Wrocław;7986762;7984262;Dorota Mielczyk;Sekretariat.p123[at]wroclawskaedukacja.pl
74.;Przedszkole nr 124 im. Marii Konopnickiej;nie dotyczy;ul. gen. Stanisława Kopańskiego 18;ul. gen. Stanisława Kopańskiego 18;przedszkole;samodzielna;51-210;Wrocław;7986763;7984263;Danuta Baczul;Sekretariat.p124[at]wroclawskaedukacja.pl
75.;Przedszkole Integracyjne nr 125 im. Janusza Korczaka;nie dotyczy;ul. Ścinawska 10;ul. Ścinawska 10;przedszkole;samodzielna;53-642;Wrocław;7986764;7984264;Renata Strojec;Sekretariat.p125[at]wroclawskaedukacja.pl
76.;Przedszkole nr 126 Różanka;nie dotyczy;ul. Jugosłowiańska 115;ul. Jugosłowiańska 115;przedszkole;samodzielna;51-112;Wrocław;7986765;7984265;Beata Lewandowska;Sekretariat.p126[at]wroclawskaedukacja.pl
77.;Przedszkole nr 136 Mały Sportowiec;nie dotyczy;ul. Gliniana 85;ul. Gliniana 85;przedszkole;samodzielna;50-526;Wrocław;7986767;7984267;Dorota Ratuszna;Sekretariat.p136[at]wroclawskaedukacja.pl
78.;Przedszkole nr 140 Pod Platanem;nie dotyczy;ul. Nadbrzeżna 14;ul. Nadbrzeżna 14;przedszkole;samodzielna;51-349;Wrocław;7986768;;Izabella Hofman-Grabowska;Sekretariat.p140[at]wroclawskaedukacja.pl
79.;Przedszkole nr 146 Wyspa Dzieci;nie dotyczy;ul. gen. Józefa Haukego-Bosaka 9c;ul. gen. Józefa Haukego-Bosaka 9c;przedszkole;samodzielna;50-447;Wrocław;7986770;7984270;Anna Czarnecka;Sekretariat.p146[at]wroclawskaedukacja.pl
80.;Przedszkole nr 148;nie dotyczy;ul. Rogowska 18a;ul. Rogowska 18a;przedszkole;samodzielna;54-440;Wrocław;7986772;7984272;Anna de Ostoja Starzewska;Sekretariat.p148[at]wroclawskaedukacja.pl
81.;Przedszkole nr 149 Tęczowa Polanka;nie dotyczy;ul. Obornicka 21;ul. Obornicka 21;przedszkole;samodzielna;51-113;Wrocław;7986773;7984273;Urszula Janiszyn;Sekretariat.p149[at]wroclawskaedukacja.pl
82.;Przedszkole nr 150 Wesołe Nutki;nie dotyczy;ul. Piotra Ignuta 30;ul. Piotra Ignuta 30;przedszkole;samodzielna;54-151;Wrocław;7986774;7984274;Krystyna Marczyńska;Sekretariat.p150[at]wroclawskaedukacja.pl
